,t,q,w,dw,u,I
0,54389109,0.00000,0,0,0,0.00030
0,54398105,0.00000,0.00000,0,0,-0.00030
0,54407105,0.00000,0.00000,0.00000,0,0.00020
0,54416105,0.00000,0.00000,0.00000,0,-0.00020
0,54425105,0.00000,0.00000,0.00000,1,-0.00010
0,54434105,0.00000,0.00000,0.00000,1,0.00060
0,54443109,0.00000,0.00000,0.00000,2,0.00010
0,54452109,0.00000,0.00000,0.00000,3,0.00090
0,54461109,0.00000,0.00000,0.00000,5,0.00080
0,54470109,0.00000,0.00000,0.00000,6,0.00170
0,54479109,0.00000,0.00000,0.00000,7,0.00260
0,54488109,0.00000,0.00000,0.00000,9,0.00400
0,54497109,0.00000,0.00000,0.00000,11,0.00570
0,54506109,0.00000,0.00000,0.00000,12,0.00840
0,54515105,0.00000,0.00000,0.00000,14,0.01100
0,54524105,0.00000,0.00000,0.00000,16,0.01370
0,54533105,0.00000,0.00000,0.00000,19,0.01510
0,54542105,0.01065,1.18311,131.44182,21,0.01630
0,54551105,0.01597,0.59169,-65.72090,23,0.02180
0,54560105,0.02662,1.18324,65.72823,26,0.02380
0,54569105,0.03195,0.59162,-65.73556,28,0.03240
0,54579105,0.04260,1.06492,47.32958,31,0.04020
0,54588105,0.05857,1.77466,78.85199,34,0.04170
0,54597105,0.07454,1.77506,0.04382,36,0.04800
0,54606105,0.09584,2.36648,65.71358,39,0.05490
0,54615105,0.11182,1.77486,-65.73557,42,0.06140
0,54624105,0.13311,2.36648,65.73565,45,0.06850
0,54633105,0.15974,2.95810,65.73537,48,0.07570
0,54642105,0.18636,2.95810,0.00000,50,0.08080
0,54651105,0.21831,3.54972,65.73566,53,0.08750
0,54660105,0.25026,3.54972,-0.00019,56,0.09440
0,54669105,0.28753,4.14134,65.73563,59,0.11200
0,54678109,0.33012,4.73190,65.60404,62,0.10850
0,54687105,0.36740,4.14180,-65.57478,64,0.11230
0,54697105,0.41532,4.79212,65.03205,67,0.11780
0,54706105,0.46856,5.91686,124.98469,70,0.12500
0,54715105,0.52181,5.91619,-0.07375,72,0.14040
0,54724105,0.57505,5.91554,-0.07231,75,0.12360
0,54733105,0.62830,5.91686,0.14609,77,0.14940
0,54742105,0.69219,7.09944,131.39795,80,0.14140
0,54752105,0.76141,6.92195,-17.74898,82,0.14500
0,54762105,0.83596,7.45441,53.24602,84,0.16020
0,54771109,0.90518,7.68764,25.90279,86,0.16160
