,ticks,w,u,V,I
0,131809,633.0508,147,5.8480,0.0541
0,133913,638.2373,148,5.8320,0.0549
0,136033,641.8983,149,5.8000,0.0546
0,138170,646.7797,150,5.8080,0.0550
0,140325,651.9661,151,5.8320,0.0555
0,142496,657.4576,152,5.8400,0.0562
0,144681,662.3390,153,5.7240,0.0564
0,146877,666.6102,154,5.7840,0.0569
0,149088,669.9661,155,5.7640,0.0571
0,151320,674.5424,156,5.7240,0.0578
0,153571,680.9492,157,5.7520,0.0581
0,155842,686.7458,158,5.6760,0.0578
0,158125,692.8475,159,5.7840,0.0596
0,160418,696.5085,160,5.7280,0.0592
0,162728,699.5593,161,5.8440,0.0600
0,165054,704.7458,162,5.8200,0.0610
0,167399,709.6271,163,5.8160,0.0609
0,169757,715.4237,164,5.6840,0.0616
0,172132,719.3898,165,5.8360,0.0618
0,174522,724.5763,166,5.8160,0.0624
0,176929,729.1525,167,5.7280,0.0627
0,179349,734.3390,168,5.7120,0.0640
0,181788,738.3051,169,5.8400,0.0650
0,184243,744.1017,170,5.6680,0.0650
0,186714,748.9830,171,5.8080,0.0651
0,189203,753.8644,172,5.6640,0.0650
0,191705,759.3560,173,5.7520,0.0653
0,194226,763.3220,174,5.6680,0.0664
0,196757,769.1187,175,5.8240,0.0677
0,199304,772.1695,176,5.7800,0.0672
0,201869,777.0508,177,5.8760,0.0678
0,204450,782.5424,178,5.7720,0.0688
0,207048,787.4237,179,5.8000,0.0692
0,209658,792.6102,180,5.7520,0.0691
0,212285,796.2712,181,5.6000,0.0691
0,214929,801.4576,182,5.7960,0.0700
0,217589,806.6440,183,5.8280,0.0700
0,220261,811.5255,184,5.6280,0.0699
0,222944,815.1865,185,5.6760,0.0713
0,225652,818.5424,186,5.6200,0.0715
0,228383,826.1695,187,5.7800,0.0718
0,231121,833.1865,188,5.8160,0.0729
0,233876,835.3220,189,5.7440,0.0727
0,236649,840.5085,190,5.8160,0.0734
0,239437,846.0000,191,5.6200,0.0742
0,242239,850.5763,192,5.7640,0.0736
0,245053,854.8475,193,5.8200,0.0752
0,247869,858.5085,194,5.7640,0.0757
0,250710,859.1187,195,5.7640,0.0750
0,253562,866.7458,196,5.8120,0.0770
0,256433,870.1017,197,5.8040,0.0769
0,259317,875.8983,198,5.7520,0.0769
0,262215,879.8644,199,5.7520,0.0781
0,265129,884.1356,200,5.5760,0.0780
0,268056,889.0170,201,5.6160,0.0791
0,271005,892.9830,202,5.7840,0.0798
0,273966,899.6949,203,5.7560,0.0797
0,276945,903.3560,204,5.7760,0.0804
0,279939,908.8475,205,5.6200,0.0813
0,282945,913.4237,206,5.5920,0.0813
0,285971,917.0847,207,5.5800,0.0834
0,289010,923.1865,208,5.6000,0.0815
0,292065,927.1525,209,5.5960,0.0819
0,295136,932.0339,210,5.5720,0.0839
0,298221,936.9153,211,5.7720,0.0845
0,301317,941.1865,212,5.8120,0.0850
0,304426,944.5424,213,5.6200,0.0838
0,307553,948.5085,214,5.8200,0.0852
0,310698,954.0000,215,5.5480,0.0861
0,313858,959.4915,216,5.5680,0.0858
0,317038,964.0678,217,5.7720,0.0867
0,320233,970.1695,218,5.6320,0.0867
0,323442,974.7458,219,5.7760,0.0871
0,326666,979.0170,220,5.7600,0.0876
0,329904,983.5932,221,5.7760,0.0877
0,333157,987.8644,222,5.7520,0.0876
0,336429,992.4407,223,5.6160,0.0882
0,339715,998.2373,224,5.5480,0.0888
0,343018,1002.5085,225,5.6560,0.0892
0,346333,1007.6949,226,5.6120,0.0914
0,349668,1011.3560,227,5.7800,0.0904
0,353022,1017.4576,228,5.5000,0.0911
0,356390,1023.2542,229,5.5560,0.0902
0,359772,1027.5254,230,5.7600,0.0921
0,363169,1031.7966,231,5.7880,0.0927
0,366577,1036.3729,232,5.7680,0.0929
0,369993,1039.7288,233,5.7280,0.0941
0,373430,1042.1694,234,5.6720,0.0930
0,376884,1048.5763,235,5.5440,0.0949
0,380354,1053.7627,236,5.8240,0.0941
0,383841,1058.6440,237,5.7560,0.0966
0,387347,1063.8306,238,5.7200,0.0958
0,390867,1069.6271,239,5.6240,0.0973
0,394398,1073.8983,240,5.7320,0.0987
0,397948,1077.2543,241,5.6240,0.0965
0,401509,1083.0509,242,5.5520,0.0969
0,405088,1086.4067,243,5.6560,0.0972
0,408676,1091.8983,244,5.7280,0.0978
0,412281,1094.6440,245,5.7600,0.0992
0,415906,1099.8306,246,5.6400,0.0992
0,419546,1105.9323,247,5.5840,0.1007
0,423194,1110.5084,248,5.7680,0.0998
0,426859,1112.9491,249,5.6520,0.1020
0,430542,1118.1356,250,5.7840,0.1013
0,434239,1123.6271,251,5.6480,0.1010
0,437948,1127.8983,252,5.4760,0.1022
0,441673,1131.5593,253,5.7800,0.1019
0,445416,1136.4407,254,5.6360,0.1040
0,449181,1141.9323,255,5.7080,0.1040
0,452977,1148.6440,256,5.6400,0.1047
0,456791,1158.1017,256,5.7240,0.1049
0,460609,1163.5933,256,5.7840,0.1048
0,464431,1164.8136,256,5.7040,0.1066
0,468254,1166.0339,256,5.7320,0.1043
0,472077,1166.3390,256,5.7640,0.1052
